type	scope	path	kind	size_bytes	sha256	git_object	text_searchable
DOCX	CORE	input/rtm_test_document.docx	file	36954	1bcc41eb6c7e66eff800ae5b85bddc587f128c9d6fe3e22ee6748cadd76b512a	25a19f809621577d90794b2e481360ea00b0581f	0
DOCX	CORE	input/sample_requirements.docx	file	37525	0e98e803090f36d813615c786bd54b0b45a74c2d0f1a245cae7782c89b816072	dab0bdacf8de41b9be3d90545e8bceb76114d543	0
DOCX	CORE	input/sample_rtm_document.docx	file	37270	34e435075170fa711376774a793cf7cb8db069f2635b91b9da5d8849b83db34e	a19982741ae7f273439d2f1ed7496ce8e57cb352	0
DOCX	CORE	input/test_cases.docx	file	36830	501a00b5f8ab6cdebb8e3f4ff6eaea80f7dba7b74697ef0d965fd1670f1f564b	65d472d01624448d50d24d5e959bced7cf42e5f4	0
DOCX	CORE	input/test_document.docx	file	37283	bbf2003b2e9de02516059b4387ffd847fc800bb86fa7d7c56bebcf2f26371a0f	1146661841072a161687086fbfb9ddbed7bb55d7	0
DOCX	CORE	input/~$STER_1805_1144.docx	file	162	63ce7a8aaf87f9c227b8e43f1949163ed721b4ade0c4e18b2ca7e5d73e7a5cb3	4a29019c59ee79e6d9ffc54bda68c6293a8e4a80	0
DOCX	CORE	specifications/QPLANT_Helium_Recovery_and_Supply_MAC_CR1299.docx	file	70671	01f4ef162e8c781520236ac0aa2f0a30b952f876d7c7310fd9281bfc1d243795	decc3df1593b7680f5ea49978bb6741d58acac83	0
DOCX	CORE	specifications/QPLANT_HV02_exhaust_for_KAEZER.docx	file	72333	f38c0c4f85e210ff686a0772d75fc7d785774a677bf11708426b1ed341a6f3e5	6c284ea24c0509b3fbee873a49d046915c712f90	0
DOCX	CORE	specifications/QPLANT_Interface_and_Terminal_Points_ACC_NF.docx	file	108187	35c1836e49b2d55d2c357761bfef2701955d699127bb30e2d84beb4dbb07f310	5e471e3abebb397cb2a62412dd2135be2ea6e4d8	0
EMF	CORE	media/media/image16.emf	file	67664	619c0776b87f7065a9982f4ab8325e8676fffbe3a54d7dca44b388639756eed6	7d834f5e324f3feaec84cd6d5e4752ef0c51d3b8	0
EMF	CORE	media/media/image20.emf	file	84908	1a1338e7f7a7d5f82eb89e18438600fd21d8b1a8dc60fad6b7cb16aa4f0b3af3	d112e5d8dc31f1232b52a9d46cd969bc26aed5aa	0
EMF	CORE	media/media/image5.emf	file	4219144	6ff513e3245ec73ea700a1edae10defcb6141abdb41554667ae3f7595df59cb4	d3b04ea4937b69967447fef0409c5b6ea8d1377f	0
